init_mode,train_fraction,num_seeds,seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_auc_mean,test_auc_std,best_val_auc_mean,best_val_auc_std,best_epoch_mean,best_epoch_std,elapsed_seconds_mean,elapsed_seconds_std,total_params,model_size_mb
pretrained,1.00,3,"42,123,3185",0.968138,0.002904,0.964523,0.003667,0.998694,0.000047,0.998996,0.000050,4.333333,1.885618,1026.25,230.39,27525506,106.06
pretrained,0.50,3,"42,123,3185",0.959758,0.000689,0.953909,0.001236,0.998054,0.000159,0.998485,0.000209,4.666667,0.942809,580.70,63.50,27525506,106.06
pretrained,0.25,3,"42,123,3185",0.941538,0.010692,0.934944,0.012087,0.996386,0.001175,0.997078,0.000994,6.333333,4.189935,345.54,112.49,27525506,106.06
pretrained,0.10,3,"42,123,3185",0.926727,0.010828,0.917000,0.011956,0.994790,0.001546,0.995897,0.000730,10.333333,1.247219,263.51,0.28,27525506,106.06
pretrained,0.05,3,"42,123,3185",0.891844,0.006884,0.874409,0.008561,0.989635,0.002444,0.990823,0.000969,7.000000,2.449490,151.04,28.59,27525506,106.06
scratch,1.00,3,"42,123,3185",0.604307,0.117809,0.478999,0.146256,0.903005,0.042122,0.906342,0.043844,5.666667,3.091206,1498.61,440.58,27525506,106.06
scratch,0.50,3,"42,123,3185",0.438663,0.054181,0.309560,0.089691,0.847724,0.009003,0.847604,0.011316,8.333333,4.921608,987.80,363.17,27525506,106.06
scratch,0.25,3,"42,123,3185",0.548085,0.068516,0.437186,0.075187,0.890470,0.032098,0.892663,0.031524,11.000000,3.741657,657.32,147.11,27525506,106.06
scratch,0.10,3,"42,123,3185",0.448115,0.014453,0.280128,0.014500,0.851831,0.006411,0.850087,0.009567,7.666667,2.867442,272.79,59.44,27525506,106.06
scratch,0.05,3,"42,123,3185",0.649030,0.046253,0.527132,0.055168,0.931473,0.014976,0.932350,0.014747,14.333333,3.681787,288.95,51.64,27525506,106.06
